time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-25T18:34:23.420Z,37.1773333,-97.8345,1.82,2.17,ml,19,66,0.04103,0.03,ismpkansas,ismpkansas70157348,2015-11-26T02:36:55.718Z,"17km E of Anthony, Kansas",earthquake
2015-11-25T01:03:50.890Z,37.1691667,-97.7993333,3.39,2.01,ml,20,72,0.03587,0.04,ismpkansas,ismpkansas70157238,2015-11-25T17:30:14.250Z,"20km E of Anthony, Kansas",earthquake
2015-11-24T11:34:56.310Z,37.1686667,-97.7995,3.89,2.48,ml,21,72,0.03578,0.05,ismpkansas,ismpkansas70156748,2015-12-31T19:17:11.040Z,"20km E of Anthony, Kansas",earthquake
2015-11-23T18:56:05.110Z,37.1198333,-97.6188333,3.45,1.83,ml,22,77,0.01627,0.05,ismpkansas,ismpkansas70156538,2015-11-23T23:17:35.810Z,"9km N of Caldwell, Kansas",earthquake
2015-11-23T11:26:41.660Z,37.1406667,-97.5695,4.44,2.23,ml,22,97,0.03928,0.05,ismpkansas,ismpkansas70156453,2015-11-23T19:29:18.445Z,"12km NNE of Caldwell, Kansas",earthquake
2015-11-23T06:14:36.970Z,37.0036667,-98.0361667,6.24,2.21,ml,20,123,0.07495,0.05,ismpkansas,ismpkansas70156398,2015-11-23T19:06:25.175Z,"16km S of Anthony, Kansas",earthquake
2015-11-22T15:37:44.380Z,37.1896667,-97.9935,5.88,2.03,ml,21,72,0.04114,0.04,ismpkansas,ismpkansas70156173,2015-11-23T18:51:58.944Z,"5km NE of Anthony, Kansas",earthquake
2015-11-22T13:46:32.230Z,37.0353333,-97.9348333,4.01,2.05,ml,21,81,0.08155,0.06,ismpkansas,ismpkansas70156158,2015-11-23T18:43:36.703Z,"15km SSE of Anthony, Kansas",earthquake
2015-11-21T06:17:05.670Z,37.1595,-97.8285,4.24,1.8,ml,21,61,0.05565,0.04,ismpkansas,ismpkansas70155663,2015-11-23T18:15:15.280Z,"18km E of Anthony, Kansas",earthquake
2015-11-21T02:45:48.060Z,37.0346667,-97.935,5.29,1.99,ml,21,81,0.08087,0.06,ismpkansas,ismpkansas70155618,2015-11-23T18:02:19.240Z,"15km SSE of Anthony, Kansas",earthquake
2015-11-21T00:08:49.100Z,37.058,-97.9323333,6.7,2.16,ml,21,75,0.06973,0.04,ismpkansas,ismpkansas70155513,2015-11-23T17:50:39.450Z,"13km SE of Anthony, Kansas",earthquake
2015-11-18T12:51:55.280Z,37.2851667,-97.616,1.9,1.61,ml,10,155,0.03748,0.04,ismpkansas,ismpkansas70154718,2015-11-18T23:15:02.340Z,"11km S of Conway Springs, Kansas",earthquake
2015-11-18T11:45:27.930Z,37.1573333,-97.824,4.61,2.06,ml,21,60,0.0521,0.06,ismpkansas,ismpkansas70154583,2015-11-18T22:47:36.057Z,"18km E of Anthony, Kansas",earthquake
2015-11-18T00:05:14.320Z,37.0493333,-97.918,1.84,2.17,ml,20,74,0.06959,0.05,ismpkansas,ismpkansas70154488,2015-12-29T22:32:34.040Z,"15km SE of Anthony, Kansas",earthquake
2015-11-17T23:52:23.910Z,36.9628333,-97.8935,3.1,1.65,ml,16,56,0.05601,0.06,ismpkansas,ismpkansas70154478,2015-11-25T01:32:36.300Z,"22km NW of Medford, Oklahoma",earthquake
2015-11-16T16:00:03.710Z,37.159,-97.8256667,4.34,2.29,ml,19,61,0.05358,0.05,ismpkansas,ismpkansas70154253,2015-11-16T19:04:46.730Z,"18km E of Anthony, Kansas",earthquake
2015-11-15T03:10:41.610Z,37.0223333,-97.9448333,6.05,2,ml,21,86,0.06699,0.04,ismpkansas,ismpkansas70154038,2015-12-30T00:24:26.040Z,"16km SSE of Anthony, Kansas",earthquake
2015-11-14T03:46:49.490Z,37.02,-97.922,5.44,2.82,ml,19,79,0.0711,0.05,ismpkansas,ismpkansas70153803,2015-12-13T06:27:04.964Z,"17km SSE of Anthony, Kansas",earthquake
2015-11-13T15:16:03.500Z,37.0205,-97.9233333,5.52,2.06,ml,20,80,0.07106,0.06,ismpkansas,ismpkansas70153633,2015-11-13T18:24:38.865Z,"17km SSE of Anthony, Kansas",earthquake
2015-11-13T06:36:39.160Z,37.0188333,-97.9216667,5.79,1.94,ml,20,80,0.0702,0.05,ismpkansas,ismpkansas70153498,2015-11-13T18:06:14.720Z,"17km SSE of Anthony, Kansas",earthquake
2015-11-13T01:51:17.010Z,36.946,-97.8311667,4.96,3.24,ml,21,84,0.09703,0.06,ismpkansas,ismpkansas70153398,2015-12-16T03:38:31.040Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-12T13:30:27.960Z,37.0581667,-97.5315,5.5,1.73,ml,12,142,0.06237,0.03,ismpkansas,ismpkansas70153298,2015-11-12T18:06:45.270Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-12T13:30:15.740Z,37.057,-97.532,5.89,1.86,ml,21,104,0.06181,0.04,ismpkansas,ismpkansas70153248,2015-11-12T17:59:21.970Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-12T10:48:13.330Z,36.963,-97.8503333,7.76,2.64,ml,20,73,0.09047,0.05,ismpkansas,ismpkansas70153198,2015-12-23T14:07:18.040Z,"20km NNW of Medford, Oklahoma",earthquake
2015-11-11T11:36:30.050Z,37.148,-97.8743333,6.4,2.32,ml,21,44,0.03931,0.04,ismpkansas,ismpkansas70152973,2015-11-11T19:39:15.081Z,"13km E of Anthony, Kansas",earthquake
2015-11-11T04:16:59.870Z,37.1266667,-97.6166667,3.72,1.98,ml,20,110,0.009538,0.05,ismpkansas,ismpkansas70152898,2015-12-17T05:53:12.040Z,"10km N of Caldwell, Kansas",earthquake
2015-11-11T01:39:03.780Z,36.9421667,-97.8271667,6.15,3.56,ml,21,87,0.09415,0.04,ismpkansas,ismpkansas70152828,2015-12-20T21:38:58.921Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-10T19:13:38.390Z,36.9405,-97.824,6.16,3.23,ml,20,88,0.0933,0.04,ismpkansas,ismpkansas70152713,2015-12-19T14:18:08.734Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-10T14:02:19.070Z,36.9458333,-97.8376667,5.26,3.56,ml,21,81,0.09578,0.05,ismpkansas,ismpkansas70152643,2015-12-14T21:03:43.233Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-10T10:46:15.880Z,37.0563333,-97.5311667,5.96,2.35,ml,22,105,0.06087,0.04,ismpkansas,ismpkansas70152583,2015-11-10T19:14:12.561Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-10T00:31:38.820Z,37.0585,-97.5266667,5.92,2.62,ml,20,106,0.06002,0.04,ismpkansas,ismpkansas70152423,2015-11-21T23:37:53.956Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-10T00:10:47.710Z,37.0596667,-97.5266667,5.33,2.31,ml,22,106,0.06091,0.05,ismpkansas,ismpkansas70152393,2015-11-10T19:21:08.992Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-09T23:35:17.790Z,37.1236667,-97.6173333,3.91,2.55,ml,21,77,0.01247,0.06,ismpkansas,ismpkansas70152373,2015-11-20T05:46:45.226Z,"10km N of Caldwell, Kansas",earthquake
2015-11-09T22:42:06.600Z,37.1223333,-97.6171667,4.27,4.05,ml,22,77,0.0138,0.07,ismpkansas,ismpkansas70152358,2015-12-10T22:55:50.040Z,"10km N of Caldwell, Kansas",earthquake
